scouter,eventCode,matchLevel,matchNumber,robot,teamNumber,as,asg,acc,acs,am,ad,tct,tsg,tfc,wf,wd,who,lnk,fpu,dt,fs,dn,ds,ls,dr,sd,sr,die,tip,dc,all,co,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41
JIH,2023inmish,qm,1,r1,5402,[71],[],0,0,0,x,[],"[8,27,33]",0,0,0,,0,0,6.9,d,2,1,0,b,1,3,0,0,0,0,Very shaky arm,,,,,,,,
IS,2023inmish,qm,1,r1,5402,[26],[],0,0,0,x,[],"[8,27,33]",0,0,0,,0,0,0,e,2,1,0,x,0,2,0,0,1,0,,,,,,,,,
JAM,2023inmish,qm,1,r2,2909,[47],[],0,0,0,a,[],[31],0,0,0,,0,0,0,a,2,,0,x,0,3,1,0,0,0,,,,,,,,,
JP,2023inmish,qm,1,b2,3176,[50],[5],0,1,1,e,"[7.6,9.3]","[8,14]",0,1,0,,0,2,3.1,e,2,2,0,a,0,3,0,0,0,1,Average but effective,,,,,,,,
Kenny,2023inmish,qm,1,b3,3940,[63],[2],1,1,1,x,[],"[11,1,3,4]",0,0,0,,1,3,0,x,2,1,1,x,0,5,0,0,1,0,dropped often ,,,,,,,,
LRS,2023inmish,qm,1,b3,3940,[63],[2],1,1,1,x,"[9.4,0.7,42.0,40.7,22.0]","[11,1,3,4,29]",0,0,0,,1,3,0,x,2,2,1,x,1,4,0,0,0,1,,,,,,,,,
COJ,2023inmish,qm,1,b1,3147,[26],[],0,0,1,x,[30.4],[17],0,1,0,,0,1,11.9,e,2,1,0,x,1,3,0,0,1,0,,,,,,,,,
AMK,2023inmish,qm,1,b1,3147,[26],[],0,0,1,x,[],[8],0,1,0,,0,0,11.2,e,2,0,0,x,0,4,0,1,1,0,None,,,,,,,,
LPM,2023inmish,qm,2,r2,6956,[71],[8],0,0,0,x,[],[11],0,0,0,,0,2,0,a,2,0,1,x,1,2,0,0,1,0,,,,,,,,,
JIH,2023inmish,qm,2,r1,3176,[35],[1],1,1,1,a,[12.5],"[3,2,9,7]",0,1,0,,1,0,0,a,0,2,2,e,1,5,0,0,0,1,Baller,,,,,,,,
ZB,2023inmish,qm,2,r3,1555,[47],[],0,0,0,x,[],[],0,0,0,,0,0,0,a,0,0,0,x,0,1,0,0,0,0,Didnt contribute,,,,,,,,
IS,2023inmish,qm,2,r1,3176,[50],[4],1,0,0,a,[6.3],"[9,7,3,2]",0,0,0,,1,0,0,a,0,2,1,x,1,4,0,0,0,0,,,,,,,,,
JAM,2023inmish,qm,2,r2,6596,[59],[8],1,0,1,x,[],[11],0,0,0,,0,2,0,x,0,1,0,x,1,3,0,0,0,0,Trouble picking up cube,,,,,,,,
AMK,2023inmish,qm,2,b1,6721,[26],[],1,1,1,x,[],[],0,0,0,,0,0,0,x,2,-1,0,x,0,2,1,0,1,0,Robot stoped working after getting hit ,,,,,,,,
JP,2023inmish,qm,2,b3,6721,[26],[],1,1,1,x,[],[],0,0,0,,0,0,0,x,2,0,0,b,0,1,1,0,0,0,Bumper fell off and robot froze,,,,,,,,
Kenny,2023inmish,qm,2,b3,5484,[63],[10],1,0,1,x,[],[2],0,0,0,,0,3,0,e,2,0,0,x,0,2,0,0,1,0,,,,,,,,,
Ljp,2023inmish,qm,2,b3,5484,[50],[2],0,0,0,x,[],"[2,1,5]",0,1,1,6955,0,0,0,e,2,1,0,a,0,4,0,0,0,0,Very inconsistent scoring,,,,,,,,
COJ,2023inmish,qm,2,b1,3487,[38],[5],0,0,1,e,"[24.3,11.8,33.2,26.4]","[4,10,6,9]",0,0,0,,1,1,16.5,d,2,2,0,x,0,4,0,0,0,1,,,,,,,,,
EAR,2023inmish,qm,2,r3,1555,[59],[],0,0,0,x,[57.0],[],0,0,0,,0,0,0,p,0,0,0,b,0,1,0,0,1,0,Bad overall!!,,,,,,,,
AMB,2023inmish,qm,2,b2,6721,[38],[27],1,0,1,x,[],[],0,0,0,,0,,0,x,2,0,0,b,0,2,1,1,0,0,,,,,,,,,
AMB,2023inmish,qm,3,b2,3865,[62],[],0,0,0,x,[],[],0,0,0,,0,0,0,x,1,0,0,b,1,1,1,0,0,0,"Barely moved, did nothing",,,,,,,,
LPM,2023inmish,qm,3,r2,2867,[71],[9],1,0,0,x,[],[8],0,0,0,,1,3,0,e,2,1,1,x,1,3,0,0,0,0,Not good pickup of floor pieces ,,,,,,,,
KG,2023inmish,qm,3,b3,328,[38],[],0,0,0,a,[],"[30,28,32,20]",0,0,0,,1,3,0,e,0,1,1,x,0,4,0,0,0,0,,,,,,,,,
JDP,2023inmish,qm,3,b2,3865,[62],[],0,0,1,x,[5.9],[],0,0,0,,0,0,0,x,1,0,0,b,0,1,1,0,1,0,Died early,,,,,,,,
Ljp,2023inmish,qm,3,b3,328,[38],[5],0,0,1,d,[],"[28,32,5,22,30,29]",0,0,0,,1,3,3.6,e,1,2,0,a,0,4,0,0,0,1,Reliably scored low with a good auto ,,,,,,,,
JAM,2023inmish,qm,3,r2,2867,[71],[9],0,0,1,x,[],"[8,20]",0,0,0,,0,3,0,e,2,2,3,x,0,3,0,0,0,0,Clamp innefective,,,,,,,,
AMK,2023inmish,qm,3,b1,910,[26],[],0,0,0,x,[],[],0,0,0,,0,,0,x,1,-1,0,x,0,3,1,0,0,0,Bot died before match,,,,,,,,
BW,2023inmish,qm,3,r3,2197,[59],[],0,1,0,d,[],[],3,0,0,,0,1,15,e,2,2,0,x,1,4,0,0,0,1,Dropped off cones for their alliance very efficien,,,,,,,,
JDP,2023inmish,qm,3,b2,3865,[62],[],0,0,1,x,[5.9],[],0,0,0,,0,0,0,x,1,0,0,b,0,1,1,0,1,0,Died early,,,,,,,,
JIH,2023inmish,qm,3,r1,9208,[35],[2],0,0,0,x,"[20.8,20.1]","[7,16]",0,1,0,,1,0,0,x,2,1,1,x,1,4,0,1,0,0,Everybody without floor intake,,,,,,,,
EAR,2023inmish,qm,3,r3,2197,[59],[23],0,0,0,d,"[21.8,17.4]",[7],2,1,0,,1,0,14.7,e,2,1,0,a,0,3,0,1,1,1,Good game knowledge.,,,,,,,,
AMB,2023inmish,qm,4,b2,45,[62],[],1,0,1,x,[],[5],0,1,0,,0,0,0,e,2,0,0,b,0,4,0,0,1,0,Not smooth movement,,,,,,,,
JAM,2023inmish,qm,4,r2,1747,[71],[],0,0,0,x,[],"[34,14]",0,0,0,,0,,0,x,0,1,0,x,0,3,1,0,0,0,"Restarted, emphasizd cubes",,,,,,,,
JDP,2023inmish,qm,4,b3,1024,[50],[],1,1,1,d,"[9.8,5.1,6.3,10.8,15.3]","[1,2,3,4]",0,0,0,,1,3,3.4,e,3,2,2,x,1,4,0,0,0,1,Match restarted,,,,,,,,
WC,2023inmish,qm,4,b3,1024,[38],[32],1,1,1,d,"[26.2,0.7,9.1,17.2,24.6,29.5]","[-8,1,2,3,4,6]",0,0,0,,1,3,0.5,d,2,2,2,x,1,4,0,0,0,1,Match restarted,,,,,,,,
AMK,2023inmish,qm,4,b1,910,[26],[],1,0,1,x,[11.3],"[27,7]",0,1,0,,0,0,0,a,2,1,0,x,0,4,0,0,0,0,Match restarted,,,,,,,,
LPM,2023inmish,qm,4,r2,1747,[71],[],0,0,0,x,[],"[35,14]",0,0,0,,0,0,0,x,0,0,1,x,1,3,0,0,0,0,,,,,,,,,
LJP,2023inmish,qm,4,b3,1024,[59],[],0,0,0,e,[],"[1,2,3,4]",0,0,0,,1,3,6.3,e,2,2,1,a,1,5,0,0,0,1,Amazing consistently I expect them to do well,,,,,,,,
SGG,2023inmish,qm,4,b1,910,[71],[],1,0,0,x,"[46.7,52.1,4.5]","[9,7]",0,1,0,,0,0,18.4,a,2,1,0,a,1,3,0,0,0,1,,,,,,,,,
CAH,2023inmish,qm,4,r3,9071,[35],[],0,0,1,x,[],[],0,0,0,,0,0,0,p,0,0,0,b,0,1,0,0,0,0,I think a mechanism broke on the bot,,,,,,,,
RMK,2023inmish,qm,4,r1,1018,[59],[],0,0,0,x,"[34.2,39.1]","[14,15,13,17]",0,1,0,,1,0,0,x,0,1,1,x,0,3,0,0,0,0,No Auton,,,,,,,,
EAR,2023inmish,qm,4,r3,9071,[35],[],0,0,1,x,[],[20],0,1,0,,0,0,0,x,0,0,0,b,0,2,0,1,1,0,Didn't complete anything,,,,,,,,
Zmb,2023inmish,qm,5,r3,4926,[47],[],0,0,1,e,[7.8],[14],0,0,0,,0,0,25.6,x,1,1,0,x,0,2,1,0,0,0,,,,,,,,,
LPM,2023inmish,qm,5,r2,3936,[47],[2],1,0,0,x,[],[4],0,0,0,,0,,0,e,1,0,0,x,1,3,0,0,0,0,Bad pickup,,,,,,,,
